country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2013,38.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2014,34.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2019,17.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2007,30.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2013,38.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2014,34.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Zero vegetable or fruit consumption (6-23months),2019,18.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Zero vegetable or fruit consumption (6-23months),2019,26.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Zero vegetable or fruit consumption (6-23months),2019,26.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Zero vegetable or fruit consumption (6-23months),2019,26.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2005,34.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2008,45.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2014,43.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2021,34.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2005,32.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2008,47.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2014,46,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2021,35.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2005,33.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2008,46.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2014,44.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Zero vegetable or fruit consumption (6-23months),2021,35.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
El Salvador,SV,SLV,222,Zero vegetable or fruit consumption (6-23months),2014,15.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
El Salvador,SV,SLV,222,Zero vegetable or fruit consumption (6-23months),2014,16.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
El Salvador,SV,SLV,222,Zero vegetable or fruit consumption (6-23months),2014,15.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Zero vegetable or fruit consumption (6-23months),2006,26.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Zero vegetable or fruit consumption (6-23months),2014,21.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Zero vegetable or fruit consumption (6-23months),2006,26.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Zero vegetable or fruit consumption (6-23months),2014,20.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Zero vegetable or fruit consumption (6-23months),2006,26.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Zero vegetable or fruit consumption (6-23months),2014,21.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2005,83.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2011,81.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2016,68.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2019,68.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2005,81.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2011,82.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2016,69.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2019,70.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2005,82.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2011,82.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2016,68.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Zero vegetable or fruit consumption (6-23months),2019,69.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Fiji,FJ,FJI,242,Zero vegetable or fruit consumption (6-23months),2021,11,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Fiji,FJ,FJI,242,Zero vegetable or fruit consumption (6-23months),2021,12.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Fiji,FJ,FJI,242,Zero vegetable or fruit consumption (6-23months),2021,11.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Zero vegetable or fruit consumption (6-23months),2012,49.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Zero vegetable or fruit consumption (6-23months),2020,43.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Zero vegetable or fruit consumption (6-23months),2012,55.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Zero vegetable or fruit consumption (6-23months),2020,41.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Zero vegetable or fruit consumption (6-23months),2012,52.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Zero vegetable or fruit consumption (6-23months),2020,42.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Zero vegetable or fruit consumption (6-23months),2013,76.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Zero vegetable or fruit consumption (6-23months),2018,63.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Zero vegetable or fruit consumption (6-23months),2020,56.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Zero vegetable or fruit consumption (6-23months),2013,74.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Zero vegetable or fruit consumption (6-23months),2018,62.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Zero vegetable or fruit consumption (6-23months),2020,56.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Zero vegetable or fruit consumption (6-23months),2013,75.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Zero vegetable or fruit consumption (6-23months),2018,63,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Zero vegetable or fruit consumption (6-23months),2020,56.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Georgia,GE,GEO,268,Zero vegetable or fruit consumption (6-23months),2018,7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Georgia,GE,GEO,268,Zero vegetable or fruit consumption (6-23months),2018,11.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Georgia,GE,GEO,268,Zero vegetable or fruit consumption (6-23months),2018,9.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2008,31.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2011,34.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2014,49.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2017,40.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2008,27.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2011,33.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2014,52,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2017,45.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2008,29.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2011,33.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2014,50.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Zero vegetable or fruit consumption (6-23months),2017,42.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guatemala,GT,GTM,320,Zero vegetable or fruit consumption (6-23months),2015,26.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guatemala,GT,GTM,320,Zero vegetable or fruit consumption (6-23months),2015,26.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guatemala,GT,GTM,320,Zero vegetable or fruit consumption (6-23months),2015,26.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Zero vegetable or fruit consumption (6-23months),2012,80.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Zero vegetable or fruit consumption (6-23months),2016,83.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Zero vegetable or fruit consumption (6-23months),2018,63.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Zero vegetable or fruit consumption (6-23months),2012,83.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Zero vegetable or fruit consumption (6-23months),2016,85.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Zero vegetable or fruit consumption (6-23months),2018,61.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Zero vegetable or fruit consumption (6-23months),2012,82.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Zero vegetable or fruit consumption (6-23months),2016,84.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Zero vegetable or fruit consumption (6-23months),2018,62.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Zero vegetable or fruit consumption (6-23months),2014,42.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Zero vegetable or fruit consumption (6-23months),2019,68.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Zero vegetable or fruit consumption (6-23months),2014,44.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Zero vegetable or fruit consumption (6-23months),2019,69.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Zero vegetable or fruit consumption (6-23months),2014,43.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Zero vegetable or fruit consumption (6-23months),2019,69,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Zero vegetable or fruit consumption (6-23months),2009,28.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Zero vegetable or fruit consumption (6-23months),2014,17.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Zero vegetable or fruit consumption (6-23months),2019,27.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Zero vegetable or fruit consumption (6-23months),2009,31.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Zero vegetable or fruit consumption (6-23months),2014,16.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Zero vegetable or fruit consumption (6-23months),2019,38,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Zero vegetable or fruit consumption (6-23months),2009,30.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Zero vegetable or fruit consumption (6-23months),2014,16.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Zero vegetable or fruit consumption (6-23months),2019,32.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Zero vegetable or fruit consumption (6-23months),2006,48.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Zero vegetable or fruit consumption (6-23months),2012,38.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Zero vegetable or fruit consumption (6-23months),2017,53.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Zero vegetable or fruit consumption (6-23months),2006,46.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Zero vegetable or fruit consumption (6-23months),2012,40,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Zero vegetable or fruit consumption (6-23months),2017,55.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Zero vegetable or fruit consumption (6-23months),2006,47.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Zero vegetable or fruit consumption (6-23months),2012,39.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Zero vegetable or fruit consumption (6-23months),2017,54.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Zero vegetable or fruit consumption (6-23months),2006,44.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Zero vegetable or fruit consumption (6-23months),2012,36.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Zero vegetable or fruit consumption (6-23months),2019,35.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Zero vegetable or fruit consumption (6-23months),2006,43.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Zero vegetable or fruit consumption (6-23months),2012,35.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Zero vegetable or fruit consumption (6-23months),2019,37.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Zero vegetable or fruit consumption (6-23months),2006,43.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Zero vegetable or fruit consumption (6-23months),2012,36.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Zero vegetable or fruit consumption (6-23months),2019,36.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2006,59.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2015,54.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2017,53.3,Female,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2020,52.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2006,58.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2015,55.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2017,56.2,Male,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2020,51.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2006,58.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2015,54.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2017,54.8,Total,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Zero vegetable or fruit consumption (6-23months),2020,52,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Zero vegetable or fruit consumption (6-23months),2012,20.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Zero vegetable or fruit consumption (6-23months),2017,16.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Zero vegetable or fruit consumption (6-23months),2012,21.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Zero vegetable or fruit consumption (6-23months),2017,19.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Zero vegetable or fruit consumption (6-23months),2012,21.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Zero vegetable or fruit consumption (6-23months),2017,17.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Iraq,IQ,IRQ,368,Zero vegetable or fruit consumption (6-23months),2018,25,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Iraq,IQ,IRQ,368,Zero vegetable or fruit consumption (6-23months),2018,25.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Iraq,IQ,IRQ,368,Zero vegetable or fruit consumption (6-23months),2018,25.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2007,21.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2012,29.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2017,41.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2019,36.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2007,20.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2012,29.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2017,40.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2019,51.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2007,21.3,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2012,29.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2017,41.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Zero vegetable or fruit consumption (6-23months),2019,43.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kazakhstan,KZ,KAZ,398,Zero vegetable or fruit consumption (6-23months),2015,21.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kazakhstan,KZ,KAZ,398,Zero vegetable or fruit consumption (6-23months),2015,21.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kazakhstan,KZ,KAZ,398,Zero vegetable or fruit consumption (6-23months),2015,21.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kenya,KE,KEN,404,Zero vegetable or fruit consumption (6-23months),2014,28.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kenya,KE,KEN,404,Zero vegetable or fruit consumption (6-23months),2022,23.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kenya,KE,KEN,404,Zero vegetable or fruit consumption (6-23months),2014,28.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kenya,KE,KEN,404,Zero vegetable or fruit consumption (6-23months),2022,27.1,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kenya,KE,KEN,404,Zero vegetable or fruit consumption (6-23months),2014,28.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kenya,KE,KEN,404,Zero vegetable or fruit consumption (6-23months),2022,25.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Zero vegetable or fruit consumption (6-23months),2009,35.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Zero vegetable or fruit consumption (6-23months),2018,54,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Zero vegetable or fruit consumption (6-23months),2009,33.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Zero vegetable or fruit consumption (6-23months),2018,49.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Zero vegetable or fruit consumption (6-23months),2009,34.1,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Zero vegetable or fruit consumption (6-23months),2018,51.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2012,46.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2014,38.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2018,15.3,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2021,19.7,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2012,47.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2014,36.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2018,12.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2021,13.7,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2012,47.2,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2014,37.4,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2018,13.8,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Zero vegetable or fruit consumption (6-23months),2021,16.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
